"x","n_i_lost_none_to_lost_mom","n_i_lost_dad_to_lost_both","n_i_lost_none_to_lost_dad","n_i_lost_mom_to_lost_both","n_i_lost_none_to_lost_both","n_s_lost_none","n_s_lost_mom","n_s_lost_dad","n_s_lost_both","sex","race"
"[55,60)",244,650,506,335,31,7092,2999,10258,12759,"male","all"
"[55,60)",256,793,546,349,43,7711,3555,12288,15657,"female","all"
"[60,Inf)",216,1489,414,503,56,3745,2876,11975,50077,"male","all"
"[60,Inf)",209,1671,429,586,74,4102,3634,13217,62333,"female","all"
"[0,5)",22,0,78,0,4,21795,49,173,7,"all","non-hispanic black"
"[0,5)",35,0,94,1,4,40230,66,186,8,"all","hispanic"
"[0,5)",113,1,253,1,15,150619,203,479,46,"all","non-hispanic white"
"[5,10)",41,4,88,1,1,19821,198,540,32,"all","non-hispanic black"
"[5,10)",39,1,99,2,0,36140,232,657,28,"all","hispanic"
"[5,10)",122,8,298,8,3,141827,765,1788,123,"all","non-hispanic white"
"[10,15)",50,5,84,3,2,17749,383,901,56,"all","non-hispanic black"
"[10,15)",39,2,89,2,2,31377,418,1069,40,"all","hispanic"
"[10,15)",144,8,418,10,4,131782,1337,3416,205,"all","non-hispanic white"
"[15,20)",48,5,117,12,4,15481,552,1318,131,"all","non-hispanic black"
"[15,20)",51,7,125,14,3,26431,534,1516,92,"all","hispanic"
"[15,20)",229,21,572,30,6,120576,2062,5504,370,"all","non-hispanic white"
"[20,25)",65,21,96,14,4,13183,713,1742,256,"all","non-hispanic black"
"[20,25)",56,9,122,13,4,22118,705,1966,213,"all","hispanic"
"[20,25)",267,56,703,46,10,108473,3111,8374,747,"all","non-hispanic white"
"[25,30)",39,18,118,17,5,11115,886,2078,462,"all","non-hispanic black"
"[25,30)",85,22,124,14,0,18146,903,2344,364,"all","hispanic"
"[25,30)",309,83,759,75,14,95938,4010,11340,1473,"all","non-hispanic white"
"[30,35)",61,28,135,40,4,9089,911,2463,735,"all","non-hispanic black"
"[30,35)",77,21,135,31,3,14363,1103,2662,613,"all","hispanic"
"[30,35)",408,187,938,121,18,82211,5108,14465,2548,"all","non-hispanic white"
"[35,40)",74,39,175,44,6,10904,1208,2948,874,"all","hispanic"
"[35,40)",461,249,1037,169,28,67355,6053,17395,4315,"all","non-hispanic white"
"[35,40)",63,43,151,35,7,7153,959,2755,1081,"all","non-hispanic black"
"[40,45)",79,55,153,54,4,7551,1190,3081,1285,"all","hispanic"
"[40,45)",562,465,1232,266,35,51532,7011,20114,7133,"all","non-hispanic white"
"[40,45)",66,75,135,42,7,5188,1000,2925,1500,"all","non-hispanic black"
"[45,50)",62,71,140,51,6,4918,1057,2871,1639,"all","hispanic"
"[45,50)",495,679,1200,414,57,37111,7378,21853,11213,"all","non-hispanic white"
"[45,50)",63,78,124,58,7,3476,905,2851,2045,"all","non-hispanic black"
"[50,55)",57,116,116,66,15,2734,865,2417,2031,"all","hispanic"
"[50,55)",42,139,115,70,9,1931,736,2616,2711,"all","non-hispanic black"
"[50,55)",529,1024,1165,539,87,23522,6770,21634,17178,"all","non-hispanic white"
"[55,60)",33,89,81,54,5,1306,606,1874,2250,"all","hispanic"
"[55,60)",438,1243,900,579,60,12548,5441,18739,22998,"all","non-hispanic white"
"[55,60)",29,111,71,51,9,949,507,1933,3168,"all","non-hispanic black"
"[60,Inf)",33,192,57,83,13,766,631,1790,6923,"all","hispanic"
"[60,Inf)",357,2756,740,935,112,6535,5372,21410,96608,"all","non-hispanic white"
"[60,Inf)",35,212,46,71,5,546,507,1992,8879,"all","non-hispanic black"
"[0,5)",12,0,34,0,1,9519,29,77,1,"male","non-hispanic black"
"[0,5)",11,0,38,0,2,19492,20,88,2,"male","hispanic"
"[0,5)",24,0,56,1,2,20738,46,98,6,"female","hispanic"
"[0,5)",56,1,116,0,6,74531,97,217,20,"male","non-hispanic white"
"[0,5)",10,0,44,0,3,12276,20,96,6,"female","non-hispanic black"
"[0,5)",57,0,137,1,9,76088,106,262,26,"female","non-hispanic white"
"[5,10)",19,1,32,0,1,8655,96,223,7,"male","non-hispanic black"
"[5,10)",18,1,43,2,0,17466,86,268,18,"male","hispanic"
"[5,10)",21,0,56,0,0,18674,146,389,10,"female","hispanic"
"[5,10)",48,3,135,2,2,69972,374,811,48,"male","non-hispanic white"
"[5,10)",22,3,56,1,0,11166,102,317,25,"female","non-hispanic black"
"[5,10)",74,5,163,6,1,71855,391,977,75,"female","non-hispanic white"
"[10,15)",25,2,36,1,1,7659,196,367,22,"male","non-hispanic black"
"[10,15)",15,1,37,0,0,15051,168,456,20,"male","hispanic"
"[10,15)",24,1,52,2,2,16326,250,613,20,"female","hispanic"
"[10,15)",68,5,186,7,2,64846,607,1516,87,"male","non-hispanic white"
"[10,15)",25,3,48,2,1,10090,187,534,34,"female","non-hispanic black"
"[10,15)",76,3,232,3,2,66936,730,1900,118,"female","non-hispanic white"
"[15,20)",19,2,38,7,2,6647,262,513,58,"male","non-hispanic black"
"[15,20)",23,3,47,8,1,12546,209,629,37,"male","hispanic"
"[15,20)",28,4,78,6,2,13885,325,887,55,"female","hispanic"
"[15,20)",114,13,282,9,3,59042,957,2470,174,"male","non-hispanic white"
"[15,20)",29,3,79,5,2,8834,290,805,73,"female","non-hispanic black"
"[15,20)",115,8,290,21,3,61534,1105,3034,196,"female","non-hispanic white"
"[20,25)",30,10,38,6,2,5602,328,664,117,"male","non-hispanic black"
"[20,25)",25,5,52,6,1,10538,260,798,100,"male","hispanic"
"[20,25)",31,4,70,7,3,11580,445,1168,113,"female","hispanic"
"[20,25)",113,32,310,21,3,52999,1448,3756,354,"male","non-hispanic white"
"[20,25)",35,11,58,8,2,7581,385,1078,139,"female","non-hispanic black"
"[20,25)",154,24,393,25,7,55474,1663,4618,393,"female","non-hispanic white"
"[25,30)",19,2,49,10,2,4635,408,799,214,"male","non-hispanic black"
"[25,30)",41,8,51,4,0,8592,356,935,167,"male","hispanic"
"[25,30)",126,39,358,36,3,46849,1835,5121,696,"male","non-hispanic white"
"[25,30)",44,14,73,10,0,9554,547,1409,197,"female","hispanic"
"[25,30)",20,16,69,7,3,6480,478,1279,248,"female","non-hispanic black"
"[25,30)",183,44,401,39,11,49089,2175,6219,777,"female","non-hispanic white"
"[30,35)",21,10,53,16,0,3775,420,967,315,"male","non-hispanic black"
"[30,35)",33,7,49,11,1,6807,472,1052,252,"male","hispanic"
"[30,35)",197,77,427,52,7,40110,2310,6581,1169,"male","non-hispanic white"
"[30,35)",44,14,86,20,2,7556,631,1610,361,"female","hispanic"
"[30,35)",40,18,82,24,4,5314,491,1496,420,"female","non-hispanic black"
"[30,35)",211,110,511,69,11,42101,2798,7884,1379,"female","non-hispanic white"
"[35,40)",32,11,74,15,3,5181,544,1165,338,"male","hispanic"
"[35,40)",212,105,486,77,14,32838,2823,7909,1905,"male","non-hispanic white"
"[35,40)",42,28,101,29,3,5723,664,1783,536,"female","hispanic"
"[35,40)",34,27,85,21,4,4199,543,1658,636,"female","non-hispanic black"
"[35,40)",29,16,66,14,3,2954,416,1097,445,"male","non-hispanic black"
"[35,40)",249,144,551,92,14,34517,3230,9486,2410,"female","non-hispanic white"
"[40,45)",31,27,78,20,1,3617,533,1307,471,"male","hispanic"
"[40,45)",254,210,590,133,15,24935,3230,9222,3184,"male","non-hispanic white"
"[40,45)",48,28,75,34,3,3934,657,1774,814,"female","hispanic"
"[40,45)",42,50,82,28,6,3075,566,1747,893,"female","non-hispanic black"
"[40,45)",308,255,642,133,20,26597,3781,10892,3949,"female","non-hispanic white"
"[40,45)",24,25,53,14,1,2113,434,1178,607,"male","non-hispanic black"
"[45,50)",29,33,69,22,4,2362,459,1245,654,"male","hispanic"
"[45,50)",248,321,548,190,32,17922,3387,9990,5124,"male","non-hispanic white"
"[45,50)",33,38,71,29,2,2556,598,1626,985,"female","hispanic"
"[45,50)",46,48,78,35,4,1974,543,1712,1254,"female","non-hispanic black"
"[45,50)",247,358,652,224,25,19189,3991,11863,6089,"female","non-hispanic white"
"[45,50)",17,30,46,23,3,1502,362,1139,791,"male","non-hispanic black"
"[50,55)",25,48,49,29,7,1317,380,1085,804,"male","hispanic"
"[50,55)",21,90,71,41,6,1045,450,1573,1667,"female","non-hispanic black"
"[50,55)",260,460,551,259,44,11325,3150,9923,7892,"male","non-hispanic white"
"[50,55)",269,564,614,280,43,12197,3620,11711,9286,"female","non-hispanic white"
"[50,55)",32,68,67,37,8,1417,485,1332,1227,"female","hispanic"
"[50,55)",21,49,44,29,3,886,286,1043,1044,"male","non-hispanic black"
"[55,60)",18,32,41,26,2,656,272,828,909,"male","hispanic"
"[55,60)",214,570,436,282,25,5998,2521,8670,10595,"male","non-hispanic white"
"[55,60)",224,673,464,297,35,6550,2920,10069,12403,"female","non-hispanic white"
"[55,60)",15,57,40,28,3,650,334,1046,1341,"female","hispanic"
"[55,60)",17,63,42,24,5,511,301,1173,1913,"female","non-hispanic black"
"[55,60)",12,48,29,27,4,438,206,760,1255,"male","non-hispanic black"
"[60,Inf)",15,95,30,36,7,450,257,840,2838,"male","hispanic"
"[60,Inf)",183,1299,357,438,47,3010,2425,10311,43806,"male","non-hispanic white"
"[60,Inf)",174,1457,383,497,65,3525,2947,11099,52802,"female","non-hispanic white"
"[60,Inf)",18,97,27,47,6,316,374,950,4085,"female","hispanic"
"[60,Inf)",17,117,19,42,3,261,313,1168,5446,"female","non-hispanic black"
"[60,Inf)",18,95,27,29,2,285,194,824,3433,"male","non-hispanic black"
